title,image_url,video_url,instructions,teaching_points,position,starting_zone,ending_zone,situation,hockey_skills,complexity
SCORING – O-ZONE PLAY – CHANGE ATTACK OPTIONS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_0zone_play_change_attack_options_2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place 2 D along the blue line, forwards in the corner with
    pucks; Fwd skates behind net and up to hash marks, delays and
    turns back towards corner, performs another delay and turns
    up the wall and then attacks the net.; After shot, fwd receives a pass from the coach behind the
    net, skates up the wall and cycles puck with D who comes
    down from Blue line.; D can shoot or pass to forward in slot; Send second forward to add pressure","Quick feet on the delays, drive hard to net; Be an option below goal line then cycle down the wall to D; Get open as an option","['Forward', 'Defence']",Offensive Zone,Offensive Zone,['Offensive Play'],"['Skating', 'Passing', 'Shooting']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #1 – BH SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_1_BH_shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle.","Players attack “defender” fake, pull puck to the backhand
    and shoot on goal. This changes the angle and makes the
    goaltender move; Attacker would have to move laterally around defender to
    avoid a poke check. Protect the puck and shoot",[],Unknown,Unknown,['Offensive Play'],"['Shooting', 'Stickhandling']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #2 – FH SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_2_FH_shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle.","Player attacks “defender”, fakes and moves to forehand and
    shoots. This quick lateral movement changes the angle and
    makes the goaltender move. Make sure player’s head is up
    before the shot. “Pull it, see it, shoot it”",[],Unknown,Unknown,['Offensive Play'],"['Shooting', 'Stickhandling']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #3 – TOE DRAG,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_3_toe_drag.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle.","Player attacks “defender” fakes, pulls puck across the front
    of defender to forehand and shoots. This changes the angle
    and makes the goaltender move. Make sure player’s head is
    up before the shot. “Pull it, see it, shoot it”",[],Neutral Zone,Neutral Zone,['Offensive Play'],"['Skating', 'Stickhandling', 'Shooting']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #4 – EBERLE MOVE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_4_eberle_move.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle.","Player attacks “defender” fakes a shot, pull puck across the
    front of defender to forehand and shoot. This changes the
    angle and makes the goaltender move. Make sure player’s
    head is up before the shot. “Pull it, see it, shoot it”",[],Unknown,Unknown,['Offensive Play'],"['Shooting', 'Stickhandling']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #5 – SHOOT THROUGH SCREEN,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_5_shoot_through_screen.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle.","Player reads that the “defender” has backed in on his goalie.
    Here player shoots through the screen created. Player can
    shoot around defender or through their “legs”. Make sure
    player’s head is up before the shot. “Pull it, see it, shoot it”",[],Unknown,Unknown,['Offensive Play'],"['Shooting', 'Positioning']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #6 – CHIP – PUCK OFF STICK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_6_chip_puck_off_stick.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender. Players chip the
    puck off the boards to simulate an offensive zone entry.; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle","Players will go around pylons and then attack the stationary
    player by sliding the puck through the attack triangle on
    the forehand. Forehand: skate at stationary player, fake and
    then slide puck between feet and stick. The puck should go
    parallel to the “checkers” feet. Player can slide hand up to
    make going over defender’s stick easier",[],Neutral Zone,Offensive Zone,"['Zone Entry', 'Offensive Play']","['Skating', 'Stickhandling', 'Shooting']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #7 – CHIP – BH - FH,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_7_chip_BH_FH.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender. Players chip the
    puck off the boards to simulate an offensive zone entry.; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle","Players will go around pylons and then attach the stationary
    player by sliding the puck through the attack triangle on
    the backhand. Backhand: skate at a stationary player, pull
    across the front of defenders stick then “backhand tap” the
    puck through the triangle",[],Neutral Zone,Offensive Zone,"['Zone Entry', 'Offensive Play']","['Skating', 'Stickhandling']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #8 – CHIP – CHANGE PUCK ANGLE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_8_chip_change_puck_angle.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender. Players chip the
    puck off the boards to simulate an offensive zone entry.; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle","Player attacks “defender” toe drags the puck and shoots.
    This changes the angle and makes the goaltender move.
    Make sure players head is up before the shot. “Pull it, see it,
    shoot it”",[],Neutral Zone,Offensive Zone,"['Zone Entry', 'Offensive Play']","['Skating', 'Shooting', 'Stickhandling']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #9 – PULL IN PUSH OUT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_9_chip_pull_in_push_out.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender.; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle","Player attacks “defender”, pulls goaltender move. Make sure
    players head is up before the shot. “Pull it, see it, shoot
    it”puck in towards the skates and then pushes the puck back
    out on the forehand the whole time and shoots. This changes
    the angle and makes the",[],Unknown,Unknown,['Offensive Play'],"['Shooting', 'Stickhandling']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #10 – SPIN TO FOREHAND,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_10_spin_to_forehand.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender. Players chip the
    puck off the boards to simulate an offensive zone entry.; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle","Player attacks “defender” pulls puck across the front of
    defender to and pushes the puck back and shoot. The puck
    stays on the forehand at all times. This changes the angle
    and makes the goaltender move. Make sure players head is
    up before the shot. “Pull it, see it, shoot it”",[],Neutral Zone,Offensive Zone,"['Zone Entry', 'Offensive Play']","['Skating', 'Stickhandling', 'Shooting']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #11 – PUCK THROUGH LEGS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_11_puck_through_legs.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender. Players do an open
    “Crosby” and then attack.; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle","Player attacks and “delays” by turning outside. Player keeps
    speed, sells the fake, turns tight and attacks the net. Make
    sure players head is up before the shot. “Pull it, see it, shoot
    it”",[],Neutral Zone,Offensive Zone,['Offensive Play'],"['Skating', 'Stickhandling', 'Shooting']",Intermediate
SCORING – 1 ON 0 ATTACK MOVES #12 – PUCK PROTECT TO BACKHAND,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_1_on_0_attack_moves_12_puck_protect_to_backhand.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender. Players do an open
    “Crosby” and then attack; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle","Players reach, expose the puck enticing the defender, then
    pull it between their feet to the outside foot and kick up to
    stick. Head is up observing defender. Bottom hand slides.
    Players can use a toe drag or a backhand drag. A wide base is
    needed.",['Forward'],Unknown,Unknown,['Offensive Play'],['Stickhandling'],Intermediate
